name,s,mux,muy,x,y,betx,bety,dx_zeta,dy_zeta
BPCE.21706,3478.2438999999817,13.155077541176087,13.159385771478728,0.0001077574124260182,1.4521891854205377e-22,22.206067346953827,99.6907700782516,3.3641527950041675e-05,6.960333953188721e-26
BPCE.21803,3509.709599999982,13.289703237897225,13.260488102383004,6.476924451423956e-05,3.613117650377206e-23,96.98641385970474,22.789118460296613,0.0001158183312621397,3.3758172880524154e-26
BPCE.21931,3547.1539999999823,13.4334176005867,13.408247251149753,-7.161070718684721e-05,-6.854688192861051e-23,21.79560926552771,99.54509014696593,3.722755677903441e-05,2.50512834667691e-26
BPH.22008,3575.0091999999822,13.533683699205666,13.51199789793662,-0.0002476832487493736,-6.587719840702893e-23,102.56877193113466,21.176840696196574,1.341293714961585e-05,-1.0247124545551877e-26
BPV.22108,3607.006899999982,13.64309513005119,13.644160403065033,-0.00010932308762373368,-1.5314483265178162e-22,21.324119132623526,102.26293907876456,-2.96128571832687e-05,-6.872078879871723e-26
BPCR.22172,3624.8693999999823,13.74299252755866,13.681953138791854,-9.486820649649025e-05,-9.386708074418773e-23,49.599441442776275,48.97662541139174,-7.748944014824926e-05,-5.148064756292253e-26
BPH.22208,3639.0045999999825,13.774811846365147,13.75436948932812,-8.979330848305766e-05,-3.7276113907333455e-23,102.13645316011664,21.12333057500543,-0.00011750233074627501,-3.340953864318662e-26
BPCN.22308,3670.9997999999828,13.885240540617877,13.886797744260399,3.8984697603630215e-05,4.900020252455416e-23,21.08262697865402,102.19373686265868,-4.6841717606971344e-05,-3.531622976169558e-26
BPH.22408,3702.9999999999823,14.017703185070614,13.996917309581644,0.0002381041552957579,6.232050335993744e-23,102.45831128793169,21.15996489202142,-2.5228364950037838e-05,1.1258511602579245e-26
BPV.22508,3734.9976999999826,14.127215503092614,14.129167843481197,0.00011289927495216037,1.5773057891070085e-22,21.314681612001518,102.24002103019261,2.490739092365742e-05,7.798479634290821e-26
BPH.22608,3766.995399999982,14.258865511679408,14.239404913790752,0.00011294156484179405,4.3118200173934817e-23,102.2589946477731,21.113864070940956,0.00011498501426173511,3.1639575712516933e-26
BPCN.22708,3798.9905999999824,14.369214665002147,14.371891267097938,-2.8036654209969496e-05,-3.4236585521694073e-23,21.082474026123375,102.17219381771358,4.933537963227408e-05,2.7755628516719097e-26
